State,Abbreviation,Population
Alabama,AL,"5,024,279"
Alaska,AK,"733,391"
Arizona,AZ,"7,151,502"
Arkansas,AR,"3,011,524"
California,CA,"39,538,223"
Colorado,CO,"5,773,714"
Connecticut,CT,"3,605,944"
Delaware,DE,"989,948"
District of Columbia,DC,"21,538,187"
Florida,FL,"10,711,908"
Georgia,GA,"1,455,271"
Hawaii,HI,"1,839,106"
Idaho,ID,"12,812,508"
Illinois,IL,"6,785,528"
Indiana,IN,"3,190,369"
Iowa,IA,"2,937,880"
Kansas,KS,"4,505,836"
Kentucky,KY,"4,657,757"
Louisiana,LA,"1,362,359"
Maine,ME,"6,177,224"
Maryland,MD,"7,029,917"
Massachusetts,MA,"10,077,331"
Michigan,MI,"5,706,494"
Minnesota,MN,"2,961,279"
Mississippi,MS,"6,154,913"
Missouri,MO,"1,084,225"
Montana,MT,"1,961,504"
Nebraska,NE,"3,104,614"
Nevada,NV,"1,377,529"
New Hampshire,NH,"9,288,994"
New Jersey,NJ,"2,117,522"
New Mexico,NM,"20,201,249"
New York,NY,"10,439,388"
North Carolina,NC,"779,094"
North Dakota,ND,"11,799,448"
Ohio,OH,"3,959,353"
Oklahoma,OK,"4,237,256"
Oregon,OR,"13,002,700"
Pennsylvania,PA,"1,097,379"
Rhode Island,RI,"5,118,425"
South Carolina,SC,"886,667"
South Dakota,SD,"6,910,840"
Tennessee,TN,"29,145,505"
Texas,TX,"3,271,616"
Utah,UT,"643,077"
Vermont,VT,"8,631,393"
Virginia,VA,"7,705,281"
Washington,WA,"1,793,716"
West Virginia,WV,"5,893,718"
Wisconsin,WI,"576,851"
Wyoming,WY,"609,203"
